Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Jordan, Cole",1000029285,Right,OGD_RAP,Undefined,2,Bottom,1,0,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,75.54548,0.563221,0.402361,2180.410322,19.207353,6:45,5.98315,0.47832,5.36842,-66.69905,-16.73804,-6.36685,0.953,0.32501,69.91129,-11.459148,-0.735054,0.50873,,,,,,,,,,,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Jordan, Cole",1000029285,Right,OGD_RAP,Undefined,3,Bottom,0,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,73.59677,2.735441,0.101315,2341.818359,31.269283,7:00,6.0718,0.54981,5.18873,-68.89248,-15.94422,-10.65827,2.90604,-0.24307,67.87393,-9.688394,-1.790733,0.523718,,,,,,,,,,,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Jordan, Cole",1000029285,Right,OGD_RAP,Undefined,3,Bottom,0,0,1,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,72.69752,2.474607,0.66863,2363.51134,36.771734,7:15,5.93665,0.49929,4.99788,-69.82594,-15.31544,-12.65398,2.45562,0.07605,67.27287,-10.062479,-1.570752,0.531388,68.00842,-35.268478,-69.414278,,,,,5.73715,5.73715,-40.597864,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Jordan, Cole",1000029285,Right,OGD_RAP,Undefined,3,Bottom,0,2,2,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,74.28961,1.990196,0.487638,2459.947102,36.709317,7:15,5.94463,0.50709,5.44388,-65.9859,-14.88709,-12.17627,2.31,-0.05103,69.03344,-9.940689,-1.685633,0.51449,,,,,,,,,,,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Cone, Jack",1000258940,Left,OGD_RAP,Undefined,1,Bottom,0,1,2,Curveball,Curveball,InPlay,Undefined,Popup,Out,1,0,,75.93659,1.256448,0.111546,2351.560335,32.257841,7:00,5.95767,0.69526,5.28736,-62.51236,-13.238,-9.25434,1.92832,0.02881,70.45699,-10.016453,-1.536097,0.505222,80.36317,57.631268,25.676494,6445.39207,95.77998,128.2753,54.09402,198.74242,106.18688,31.112383,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Gil, Raymond",1000025717,Right,OGD_RAP,Undefined,2,Bottom,2,2,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.20764,4.166772,1.384528,2100.830917,36.792485,7:15,5.94467,0.56701,5.21744,-66.29795,-13.01725,-10.88426,4.34564,0.96202,67.51494,-7.811078,-0.543547,0.525359,,,,,,,,,,,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Jordan, Cole",1000029285,Right,OGD_RAP,Undefined,3,Bottom,0,0,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.1814,1.080963,-1.496586,2331.222542,57.119931,8:00,5.69916,0.64135,5.8362,-55.43735,-7.73016,-13.93528,2.08453,-1.91121,71.05523,-9.017698,-3.997447,0.497122,,,,,,,,,,,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Barns, Landen",1000249605,Right,OGD_RAP,Undefined,2,Bottom,2,0,1,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,75.95912,1.719557,-0.140147,2256.430692,65.334158,8:15,5.70573,0.75173,5.56505,-53.74345,-5.28894,-14.38473,2.83394,-0.57792,70.62365,-8.055376,-2.70905,0.501001,,,,,,,,,,,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Sargent, Christopher",1000098906,Right,OGD_RAP,Undefined,2,Bottom,0,2,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.67141,2.146777,0.587733,2312.185914,69.125928,8:15,5.69094,1.06553,5.7569,-52.06093,-4.56894,-15.60017,3.35183,0.31261,70.76461,-7.384855,-2.207352,0.496,,,,,,,,,,,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Barns, Landen",1000249605,Right,OGD_RAP,Undefined,2,Bottom,2,1,2,Slider,Curveball,InPlay,Undefined,LineDrive,Single,0,0,,75.80169,1.014679,-0.261069,2330.263595,68.803222,8:15,5.72241,0.98031,5.64378,-51.77983,-3.36169,-12.01406,2.35402,-0.26438,70.66019,-8.411287,-2.410788,0.500813,72.44584,25.249295,-27.460892,2212.475224,96.98399,34.82148,-51.90466,235.25023,235.25023,-29.693352,,,,,,,,,
